# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50309
#@/user_id	d1e9347d-3da2-40c9-ae30-f3f46160b0bf
a 	啊	c=268 d=4.75122 t=50309
liu xia lai 	留下來	c=1 d=3.80505e-45 t=50309
liu xing 	流行	c=1 d=1.46747e-71 t=50309
liu yi fei 	劉亦菲	c=1 d=7.9849e-30 t=50309
lo 	咯	c=18 d=4.1452e-16 t=50309
long 	聾	c=2 d=3.46305e-47 t=50309
long 	龍	c=3 d=0.242926 t=50309
long dan 	龍膽	c=1 d=1.99155e-46 t=50309
long duan 	壟斷	c=1 d=6.21739e-57 t=50309
long wang 	龍王	c=3 d=1.24371e-07 t=50309
lou 	樓	c=4 d=7.56942e-19 t=50309
lou diao 	漏掉	c=1 d=3.30549e-95 t=50309
lou ti 	樓梯	c=1 d=7.40014e-47 t=50309
lou xia 	樓下	c=2 d=0.0407622 t=50309
lou you 	漏油	c=1 d=9.38664e-21 t=50309
lu 	路	c=5 d=1.83468e-22 t=50309
lu 	錄	c=1 d=1.67895e-96 t=50309
lu ban 	魯班	c=8 d=1.00882e-15 t=50309
lu di 	陸地	c=2 d=1.91095e-57 t=50309
lu guo 	路過	c=1 d=1.24468e-75 t=50309
lu han 	鹿晗	c=2 d=0.000509642 t=50309
lu jing 	路徑	c=3 d=1.27103e-49 t=50309
lu na 	露娜	c=1 d=0.000407691 t=50309
lu ping 	錄屏	c=1 d=1.69882e-58 t=50309
lu ru 	錄入	c=3 d=4.47392e-09 t=50309
lu shang 	路上	c=4 d=1.82901e-15 t=50309
lu zhi 	錄製	c=1 d=3.41043e-51 t=50309
luan 	亂	c=3 d=0.0014018 t=50309
luan fang 	亂放	c=1 d=2.13341e-32 t=50309
luan gao 	亂搞	c=1 d=7.44888e-36 t=50309
luan le 	亂了	c=3 d=2.88735e-05 t=50309
luan ma 	亂碼	c=9 d=2.37449e-76 t=50309
luan shuo 	亂說	c=11 d=6.64328e-13 t=50309
lun 	倫	c=2 d=0.66034 t=50309
lun 	輪	c=3 d=5.41125e-40 t=50309
lun zi 	輪子	c=2 d=3.79191e-74 t=50309
luo 	羅	c=5 d=2.88436e-06 t=50309
luo bo 	蘿蔔	c=1 d=1.85149e-41 t=50309
luo ji 	洛基	c=1 d=2.2668e-69 t=50309
luo ji 	邏輯	c=78 d=0.489538 t=50309
luo li 	蘿莉	c=1 d=1.21855e-90 t=50309
luo zhi xiang 	羅志祥	c=2 d=1.8499e-49 t=50309
luo zi 	騾子	c=1 d=2.13037e-74 t=50309
lv 	率	c=5 d=4.42101e-39 t=50309
lv bu 	呂布	c=1 d=0.08291 t=50309
lv you 	旅遊	c=1 d=9.43369e-21 t=50309
ma 	嗎	c=106 d=2.95816 t=50309
ma 	嘛	c=91 d=0.934617 t=50309
ma 	媽	c=1 d=0.0731678 t=50309
ma 	碼	c=2 d=9.33634e-46 t=50309
ma 	罵	c=3 d=5.34237e-48 t=50309
ma 	馬	c=7 d=1.13354e-39 t=50309
ma 	麻	c=39 d=0.380895 t=50309
ma de 	媽的	c=14 d=0.664955 t=50309
ma er 	馬兒	c=2 d=2.32513e-15 t=50309
ma fan 	麻煩	c=13 d=0.0393606 t=50309
ma fan le 	麻煩了	c=1 d=3.73212e-82 t=50309
ma le 	罵了	c=1 d=1.77671e-56 t=50309
ma ni 	罵你	c=1 d=2.9497e-20 t=50309
ma niang 	罵娘	c=1 d=6.34083e-53 t=50309
ma ren 	罵人	c=3 d=1.42274e-05 t=50309
ma shang 	馬上	c=18 d=0.0429751 t=50309
ma wei 	馬尾	c=0 d=7.14683e-50 t=50309
mai 	買	c=39 d=0.468008 t=50309
mai 	賣	c=7 d=1.45259e-07 t=50309
mai bu qi 	買不起	c=4 d=0.155673 t=50309
mai fang 	買房	c=6 d=1.0734e-71 t=50309
mai lai 	買來	c=1 d=1.82485e-47 t=50309
mai le 	買了	c=1 d=2.02083e-100 t=50309
mai xiao yan 	買消炎	c=1 d=5.09573e-40 t=50309
man 	慢	c=5 d=2.38854e-08 t=50309
man 	曼	c=3 d=1.14581e-19 t=50309
man 	滿	c=5 d=5.36195e-08 t=50309
man 	瞞	c=2 d=6.49862e-47 t=50309
man 	蠻	c=1 d=6.5306e-47 t=50309
man duo 	滿舵	c=1 d=1.78902e-49 t=50309
man man 	慢慢	c=15 d=0.0215446 t=50309
man man 	滿滿	c=1 d=1 t=49914
man man 	漫漫	c=1 d=1 t=49913
man man gao 	慢慢搞	c=1 d=2.0901e-26 t=50309
man man lai 	慢慢來	c=4 d=7.19384e-25 t=50309
man pei fu 	慢佩服	c=1 d=5.24272e-51 t=50309
man xue 	滿血	c=2 d=9.27091e-22 t=50309
man yi 	滿意	c=3 d=1.01346e-69 t=50309
man zu 	滿足	c=4 d=5.10528e-62 t=50309
mang 	忙	c=16 d=1.00085e-10 t=50309
mang a 	忙啊	c=1 d=6.67409e-38 t=50309
mang cai 	忙猜	c=1 d=4.03321e-83 t=50309
mang ma 	忙嗎	c=1 d=3.91147e-46 t=50309
mang qi lai 	忙起來	c=5 d=1.86203e-49 t=50309
mang wan 	忙完	c=5 d=4.30843e-37 t=50309
mao 	冒	c=12 d=2.38334e-13 t=50309
mao 	毛	c=3 d=8.6933e-30 t=50309
mao 	貓	c=2 d=1.73642e-12 t=50309
mao bing 	毛病	c=1 d=3.18647e-46 t=50309
mao dun 	矛盾	c=1 d=4.89926e-48 t=50309
mao fang 	毛紡	c=1 d=2.28445e-72 t=50309
mao mao 	貓貓	c=7 d=2.73008e-12 t=50309
mao pao 	冒泡	c=1 d=0.427415 t=50309
mao pu 	貓撲	c=1 d=3.12507e-23 t=50309
mao yan 	冒煙	c=47 d=1.17607e-10 t=50309
me 	麼	c=4 d=0.000196472 t=50309
mei 	枚	c=1 d=5.9862e-23 t=50309
mei 	梅	c=16 d=0.00980824 t=50309
mei 	每	c=3 d=1.6545e-71 t=50309
mei 	沒	c=98 d=1.32181 t=50309
mei 	美	c=5 d=0.00835412 t=50309
mei ban fa 	沒辦法	c=9 d=3.56388e-10 t=50309
mei bao cuo 	沒報錯	c=1 d=1.50651e-27 t=50309
mei bi yao 	沒必要	c=14 d=1.49315e-21 t=50309
mei bian 	沒變	c=4 d=7.95457e-25 t=50309
mei chi 	沒喫	c=4 d=2.86203e-18 t=50309
mei chuan 	沒傳	c=7 d=5.16831e-25 t=50309
mei ci 	每次	c=25 d=1.39579 t=50309
mei cuo 	沒錯	c=1 d=7.06249e-27 t=50309
mei da 	沒打	c=1 d=2.77792e-20 t=50309
mei dao 	每到	c=1 d=6.11609e-99 t=50309
mei de 	沒得	c=14 d=1.34519e-18 t=50309
mei de shuo 	沒得說	c=1 d=3.07835e-81 t=50309
mei dian 	沒電	c=1 d=3.15584e-50 t=50309
mei dong 	沒動	c=2 d=1.54334e-17 t=50309
mei dui 	沒對	c=2 d=4.07873e-68 t=50309
mei fa 	沒法	c=5 d=1.36714e-32 t=50309
mei gan 	沒幹	c=1 d=1.5081e-10 t=50309
mei gan jue 	沒感覺	c=2 d=0.00597602 t=50309
mei gan ma 	沒幹嘛	c=1 d=8.44613e-73 t=50309
mei ge 	每個	c=2 d=2.69757e-57 t=50309
mei ge 	每隔	c=13 d=0.565525 t=50309
mei ge ren 	每個人	c=2 d=8.79741e-23 t=50309
mei gong zi 	沒工資	c=1 d=3.05394e-105 t=50309
mei guan xi 	沒關係	c=4 d=3.23749e-27 t=50309
mei guo 	沒過	c=4 d=5.77834e-19 t=50309
mei guo 	美國	c=1 d=4.39252e-87 t=50309
mei hao 	沒好	c=1 d=2.10422e-17 t=50309
mei hua 	美化	c=2 d=2.46253e-14 t=50309
mei hui 	沒回	c=2 d=1.02086e-37 t=50309
mei ji hui 	沒機會	c=2 d=6.03552e-90 t=50309
mei jian 	沒見	c=1 d=6.88065e-73 t=50309
mei jiu le 	沒救了	c=1 d=7.26396e-05 t=50309
mei ju 	枚舉	c=8 d=3.15616e-43 t=50309
mei jue de 	沒覺得	c=1 d=2.90519e-47 t=50309
mei kai 	沒開	c=3 d=5.04863e-19 t=50309
mei kan 	沒看	c=2 d=6.22712e-46 t=50309
mei kan dong 	沒看懂	c=1 d=1.34163e-75 t=50309
mei kan jian 	沒看見	c=2 d=6.29078e-48 t=50309
mei le 	沒了	c=5 d=1.25835e-27 t=50309
mei li 	美麗	c=1 d=5.20664e-58 t=50309
mei li 	魅力	c=2 d=1.44194e-41 t=50309
mei luan 	沒亂	c=1 d=6.66796e-86 t=50309
mei mai 	沒買	c=1 d=1.21371e-102 t=50309
mei mei 	妹妹	c=6 d=5.01987e-40 t=50309
mei na 	沒拿	c=1 d=3.51478e-82 t=50309
mei nv 	美女	c=2 d=1.49e-15 t=50309
mei qian 	沒錢	c=1 d=2.81157e-44 t=50309
mei qu 	沒去	c=3 d=5.74471e-28 t=50309
mei ren 	沒人	c=9 d=1.66671e-10 t=50309
mei ren 	美人	c=1 d=1.55938e-21 t=50309
mei ri 	每日	c=1 d=1.84885e-83 t=50309
mei sha 	沒啥	c=27 d=0.0159631 t=50309
mei sha shi 	沒啥事	c=5 d=1.96637e-14 t=50309
mei shan 	眉山	c=4 d=0.0572688 t=50309
mei shan shi 	眉山市	c=4 d=3.70621 t=49228
mei shao nan 	美少男	c=1 d=3.40232e-23 t=50309
mei shao nv 	美少女	c=3 d=1.45406e-19 t=50309
mei shi 	沒事	c=2 d=4.43756e-60 t=50309
mei shi mei ke 	每時每刻	c=1 d=0.000921047 t=50309
mei shui 	沒睡	c=1 d=8.5345e-20 t=50309
mei shui jiao 	沒睡覺	c=1 d=7.7899e-92 t=50309
mei shui xing 	沒睡醒	c=1 d=8.57728e-19 t=50309
mei shuo 	沒說	c=8 d=0.0854435 t=50309
mei tian 	每天	c=21 d=4.67896e-05 t=50309
mei ting 	沒聽	c=1 d=3.06319e-23 t=50309
mei tuan 	美團	c=46 d=0.13341 t=50309
mei wen 	媒蚊	c=1 d=1.02028e-89 t=50309
mei wen 	沒問	c=1 d=1.02539e-89 t=50309
mei wen ti 	沒問題	c=21 d=0.0128424 t=50309
mei xi 	沒戲	c=5 d=0.0200809 t=50309
mei xi wang 	沒希望	c=2 d=1.3935e-36 t=50309
mei xia ban 	沒下班	c=1 d=1.85426e-88 t=50309
mei xiang dao 	沒想到	c=2 d=5.70492e-45 t=50309
mei xie 	沒寫	c=5 d=2.96862e-07 t=50309
mei xing qu 	沒興趣	c=2 d=0.332871 t=50309
mei yao 	沒要	c=1 d=6.25428e-09 t=50309
mei yi ceng 	每一層	c=1 d=9.91504e-77 t=50309
mei yi ci 	每一次	c=2 d=7.91513e-15 t=50309
mei yi duan 	每一段	c=1 d=4.47773e-19 t=50309
mei yi ge 	每一個	c=5 d=5.74379e-94 t=50309
mei yi si 	沒意思	c=15 d=0.168638 t=50309
mei yi zhong 	每一種	c=1 d=9.46875e-94 t=50309
mei yong 	沒用	c=12 d=0.0133037 t=50309
mei yong guo 	沒用過	c=1 d=3.17858e-105 t=50309
mei you 	沒有	c=244 d=1.2216 t=50309
mei you ren 	沒有人	c=1 d=1 t=49303
mei zai 	沒在	c=1 d=2.83394e-49 t=50309
mei zhao dao 	沒找到	c=3 d=3.94381e-84 t=50309
mei zhou 	每週	c=1 d=1.94001e-61 t=50309
mei zi 	妹子	c=1 d=6.56446e-49 t=50309
men 	們	c=11 d=0.0234005 t=50309
men 	門	c=1 d=3.8399e-64 t=50309
men dian 	門店	c=35 d=0.08291 t=50309
men mian 	門面	c=5 d=2.11208e-63 t=50309
men sheng 	悶聲	c=1 d=2.13269e-28 t=50309
meng 	夢	c=5 d=0.0480747 t=50309
meng 	猛	c=4 d=1.2616e-28 t=50309
meng 	萌	c=3 d=4.21267e-07 t=50309
meng 	蒙	c=1 d=2.02654e-45 t=50309
meng bi 	矇蔽	c=1 d=6.77957e-46 t=50309
meng gu 	蒙古	c=1 d=3.8665e-57 t=50309
meng jian 	夢見	c=2 d=0.0426384 t=50309
meng li 	夢裏	c=1 d=1 t=49692
meng niang 	萌娘	c=2 d=1.58623e-16 t=50309
meng tian 	蒙恬	c=1 d=4.00708e-36 t=50309
meng xiang 	夢想	c=1 d=1.83975e-25 t=50309
meng ya 	萌芽	c=10 d=5.45505e-18 t=50309
mi 	冪	c=7 d=1.41044e-07 t=50309
mi 	密	c=1 d=7.06562e-91 t=50309
mi 	米	c=1 d=7.03043e-91 t=50309
mi 	迷	c=21 d=0.0315379 t=50309
mi fan 	米飯	c=7 d=4.04203e-58 t=50309
mi fen 	米粉	c=1 d=3.25472e-60 t=50309
mi huo 	迷惑	c=4 d=0.0128424 t=50309
mi ma 	密碼	c=9 d=1.97516 t=50309
mi mang 	迷茫	c=1 d=2.2444e-11 t=50309
mi qi 	米奇	c=5 d=2.11871e-35 t=50309
mi yao 	密鑰	c=2 d=2.18718e-19 t=50309
mi yi hui 	迷一會	c=1 d=1 t=50079
mian 	麪	c=7 d=2.29363e-31 t=50309
mian fei 	免費	c=2 d=7.60219e-11 t=50309
mian ji 	面基	c=1 d=1.32345e-91 t=50309
mian ji 	面積	c=1 d=1.31685e-91 t=50309
mian ju 	面具	c=1 d=0.0430669 t=50309
mian mian qiang qiang 	勉勉強強	c=1 d=6.98842e-50 t=50309
mian qian 	面前	c=1 d=6.4665e-78 t=50309
mian shi 	面試	c=4 d=1.12417e-24 t=50309
mian shi guan 	面試官	c=1 d=2.237e-31 t=50309
mian xiang 	面向	c=4 d=2.8467e-43 t=50309
mian yang 	綿陽	c=1 d=1.02431e-106 t=50309
mian zi 	面子	c=1 d=2.43298e-19 t=50309
miao 	喵	c=6 d=1.05073e-11 t=50309
miao 	妙	c=1 d=4.18639e-51 t=50309
miao sha 	秒殺	c=1 d=3.68545e-81 t=50309
miao shu 	描述	c=7 d=3.34074e-14 t=50309
miao su 	秒速	c=2 d=3.8827e-18 t=50309
miao zi 	苗子	c=1 d=4.16622e-53 t=50309
mie 	咩	c=1 d=9.33505e-15 t=50309
min 	民	c=1 d=1.21717e-18 t=50309
min gan 	敏感	c=5 d=2.42126e-21 t=50309
min gan ci 	敏感詞	c=6 d=8.15956e-21 t=50309
ming 	名	c=11 d=6.47302e-23 t=50309
ming 	命	c=1 d=8.62733e-58 t=50309
ming 	明	c=3 d=5.60292e-27 t=50309
ming bai 	明白	c=15 d=0.401246 t=50309
ming bu xu chuan 	名不虛傳	c=1 d=0.000439444 t=50309
ming cheng 	名稱	c=3 d=3.8806e-41 t=50309
ming e 	名額	c=1 d=0.00285124 t=50309
ming kuai 	明快	c=1 d=4.44739e-86 t=50309
ming liao 	明瞭	c=1 d=1.73827e-34 t=50309
ming ling 	命令	c=26 d=1.40227e-07 t=50309
ming ling hang 	命令行	c=6 d=3.72295e-62 t=50309
ming lu 	名錄	c=1 d=1.92332e-77 t=50309
ming ming 	命名	c=18 d=6.67658e-13 t=50309
ming ming 	明明	c=6 d=6.71005e-13 t=50309
ming nian 	明年	c=2 d=0.955997 t=50309
ming pai 	名牌	c=1 d=5.23202e-27 t=50309
ming que 	明確	c=1 d=0.0124629 t=50309
ming si 	冥思	c=1 d=1.20495e-105 t=50309
ming tian 	明天	c=11 d=1.1812e-18 t=50309
ming xi 	明細	c=90 d=1.13279e-09 t=50309
ming xian 	明顯	c=2 d=0.0188734 t=50309
ming xing 	明星	c=3 d=0.000502657 t=50309
ming yan 	名言	c=1 d=7.98898e-36 t=50309
ming zhao 	明朝	c=1 d=4.08525e-28 t=50309
ming zi 	名字	c=34 d=4.06072e-16 t=50309
mo 	摸	c=1 d=1.39306e-47 t=50309
mo ban 	模板	c=13 d=0.0461896 t=50309
mo cha 	墨茶	c=1 d=1.17327e-27 t=50309
mo er 	摩爾	c=1 d=3.75107e-24 t=50309
mo fa 	魔法	c=1 d=6.98367e-42 t=50309
mo guo yu 	莫過於	c=1 d=9.16609e-06 t=50309
mo kuai 	模塊	c=17 d=8.85685e-14 t=50309
mo ming 	莫名	c=3 d=1.38662e-22 t=50309
mo mo 	默默	c=1 d=1.58343e-54 t=50309
mo ni 	模擬	c=1 d=1.20184e-104 t=50309
mo nv 	魔女	c=1 d=3.58323e-103 t=50309
mo ren 	默認	c=25 d=1.52671e-08 t=50309
mo shi 	末世	c=3 d=1.00076e-97 t=50309
mo shi 	模式	c=138 d=6.51394e-09 t=50309
mo tuo 	摩托	c=1 d=8.06927e-36 t=50309
mo xing 	模型	c=15 d=5.98805e-56 t=50309
mo yu 	摸魚	c=3 d=1.03473e-48 t=50309
mou 	某	c=10 d=0.000150733 t=50309
mou ge 	某個	c=20 d=2.73131e-25 t=50309
mou yi 	某一	c=1 d=3.28977e-39 t=50309
mou yi ge 	某一個	c=1 d=1.14322e-104 t=50309
mu 	目	c=7 d=3.28408e-11 t=50309
mu ban 	模板	c=1 d=3.02984e-100 t=50309
mu biao 	目標	c=8 d=4.23097e-24 t=50309
mu da 	木大	c=2 d=8.49614e-16 t=50309
mu di 	目的	c=6 d=7.41701e-15 t=50309
mu ke 	木刻	c=1 d=8.02493e-30 t=50309
mu lu 	目錄	c=18 d=0.985112 t=50309
mu niao 	母鳥	c=1 d=3.70254e-106 t=50309
mu niu 	母牛	c=1 d=8.48299e-36 t=50309
na 	哪	c=36 d=0.355226 t=50309
na 	拿	c=34 d=0.964015 t=50309
na ba 	那把	c=1 d=1.59467e-49 t=50309
na bian 	哪邊	c=5 d=2.45029e-34 t=50309
na bian 	那邊	c=21 d=0.000109602 t=50309
na bu shi 	那不是	c=1 d=3.47082e-81 t=50309
na chi 	吶吃	c=1 d=3.16057e-97 t=50309
na chu lai 	拿出來	c=1 d=1.03827e-30 t=50309
na ci 	那次	c=1 d=3.3269e-24 t=50309
na dao 	拿到	c=19 d=0.302789 t=50309
na dao shi 	那倒是	c=1 d=1.96117e-71 t=50309
na de 	那得	c=2 d=2.82672e-19 t=50309
na dong xi 	那東西	c=1 d=4.80486e-25 t=50309
na duan 	那段	c=1 d=2.60346e-51 t=50309
na ge 	哪個	c=20 d=1.79612e-06 t=50309
na ge 	那個	c=64 d=0.982473 t=50309
na hai 	那還	c=2 d=2.91281e-19 t=50309
na hao ba 	那好吧	c=4 d=7.8703e-07 t=50309
na hui 	哪會	c=1 d=1.10954e-17 t=50309
na hui qu 	拿回去	c=1 d=5.38402e-11 t=50309
na ji ge 	那幾個	c=2 d=2.31189e-36 t=50309
na jia 	那家	c=1 d=1.00686e-51 t=50309
na jiao 	那叫	c=2 d=1.08528e-51 t=50309
na jiu 	那就	c=31 d=4.3973e-06 t=50309
na jiu hao 	那就好	c=3 d=2.5428e-09 t=50309
na jiu shi 	那就是	c=6 d=0.57695 t=50309
na kuai 	那塊	c=1 d=1.9765e-45 t=50309
na lai 	拿來	c=3 d=9.34777e-31 t=50309
na le 	拿了	c=1 d=3.14769e-49 t=50309
na li 	那裏	c=2 d=3.80959e-59 t=50309
na me 	那麼	c=18 d=0.00891527 t=50309
na me duo 	那麼多	c=1 d=3.02952e-40 t=50309
na ni 	納尼	c=1 d=2.30813e-105 t=50309
na ni 	那你	c=45 d=0.000368894 t=50309
na nie 	拿捏	c=1 d=7.03063e-62 t=50309
na pian 	那篇	c=1 d=5.21674e-22 t=50309
na sha 	那啥	c=11 d=0.000422226 t=50309
na shi 	那是	c=11 d=3.84145e-10 t=50309
na shi hou 	那時候	c=4 d=5.60643e-46 t=50309
na ta 	那他	c=1 d=1 t=50303
na tian 	哪天	c=3 d=4.00981e-44 t=50309
na tian 	那天	c=5 d=4.18439e-16 t=50309
na tiao 	那條	c=1 d=8.48733e-42 t=50309
na wei 	那位	c=1 d=8.77022e-16 t=50309
na wo 	那我	c=30 d=0.732332 t=50309
na xie 	哪些	c=2 d=3.59775e-33 t=50309
na xie 	那些	c=17 d=0.55894 t=50309
na yang 	那樣	c=6 d=1.20113e-09 t=50309
na ye 	那也	c=1 d=3.22892e-84 t=50309
na yi kuai 	那一塊	c=2 d=0.331211 t=50309
na you 	哪有	c=3 d=9.39942e-37 t=50309
na zhong 	哪種	c=2 d=0.000567086 t=50309
na zhong 	那種	c=15 d=0.349938 t=50309
na zou 	拿走	c=2 d=3.04036e-82 t=50309
na zou 	那走	c=1 d=7.07287e-103 t=50309
nai cha 	奶茶	c=2 d=6.98353e-12 t=50309
nai fen 	奶粉	c=1 d=3.92828e-67 t=50309
nan 	南	c=1 d=1.67872e-65 t=50309
nan 	男	c=21 d=0.000532364 t=50309
nan 	難	c=29 d=1.61717 t=50309
nan dao 	難道	c=17 d=0.000837812 t=50309
nan de 	男的	c=1 d=1.68111e-23 t=50309
nan de 	難得	c=6 d=0.00276698 t=50309
nan dong 	難懂	c=1 d=1.10131e-47 t=50309
nan gua 	南瓜	c=1 d=2.11355e-69 t=50309
nan guo 	難過	c=1 d=0.00386807 t=50309
nan hai 	男孩	c=1 d=6.61352e-19 t=50309
nan hai zi 	男孩子	c=3 d=0.00975476 t=50309
nan kan 	難看	c=3 d=6.45573e-29 t=50309
nan peng you 	男朋友	c=2 d=0.0218184 t=50309
nan qiu 	難求	c=1 d=1.56741e-52 t=50309
nan ren 	男人	c=2 d=0.000209665 t=50309
nan sheng 	男生	c=4 d=0.00701293 t=50309
nan shou 	難受	c=6 d=0.00593147 t=50309
nan ti 	難題	c=1 d=2.58238e-73 t=50309
nan yong 	男用	c=2 d=1.3889e-63 t=50309
nan yong 	難用	c=1 d=6.99675e-64 t=50309
nao 	腦	c=1 d=7.65176e-58 t=50309
nao bu 	腦部	c=1 d=5.95919e-58 t=50309
nao hai 	腦海	c=1 d=6.64668e-19 t=50309
nao jin 	腦筋	c=1 d=0.00733572 t=50309
ne 	呢	c=9 d=5.58479e-105 t=50309
ne 	訥	c=2 d=0.00637737 t=50309
nei 	內	c=6 d=0.271173 t=50309
nei bu 	內部	c=13 d=3.02719e-38 t=50309
nei cun 	內存	c=14 d=1.05276e-61 t=50309
nei jiu 	內疚	c=1 d=4.83732e-16 t=50309
nei rong 	內容	c=18 d=1.15024e-29 t=50309
nei tui 	內退	c=1 d=1.21879e-63 t=50309
nei wang 	內網	c=1 d=1.25955e-97 t=50309
nen cao 	嫩草	c=1 d=8.11939e-50 t=50309
neng 	能	c=104 d=5.84089e-06 t=50309
neng bu neng 	能不能	c=9 d=1.53396e-07 t=50309
neng da 	能打	c=1 d=4.08664e-32 t=50309
neng fou 	能否	c=1 d=1.10962e-106 t=50309
neng gai 	能改	c=1 d=1.15691e-97 t=50309
neng gou 	能夠	c=3 d=3.16067e-95 t=50309
neng guo 	能過	c=1 d=1.4416e-97 t=50309
neng he 	能喝	c=1 d=4.10909e-67 t=50309
neng kan 	能看	c=2 d=1.48741e-16 t=50309
neng li 	能力	c=12 d=5.80829e-21 t=50309
neng qu 	能去	c=1 d=2.20978e-34 t=50309
neng yong 	能用	c=8 d=5.13556e-13 t=50309
neng zai 	能在	c=1 d=2.26596e-94 t=50309
ni 	你	c=5 d=0.0298197 t=50309
ni 	呢	c=1 d=4.37625e-14 t=50309
ni 	擬	c=1 d=1.50309e-59 t=50309
ni ai wo 	你愛我	c=1 d=1.80044e-65 t=50309
ni ba 	你吧	c=2 d=8.27777e-42 t=50309
ni ba 	你把	c=3 d=0.0155297 t=50309
ni bu hui 	你不會	c=1 d=8.42633e-16 t=50309
ni dou 	你都	c=1 d=1.4291e-24 t=50309
ni gai 	你改	c=2 d=4.70971e-25 t=50309
ni hai 	你還	c=4 d=0.000169103 t=50309
ni hao 	你好	c=35 d=0.00357068 t=50309
ni hao a 	你好啊	c=0 d=1.96719e-108 t=50309
ni hao a kan 	你好啊看	c=1 d=1.97705e-107 t=50309
ni hui 	你會	c=3 d=0.000536738 t=50309
ni jia 	你家	c=1 d=1.05539e-46 t=50309
ni jiao wo 	你叫我	c=1 d=1.79323e-106 t=50309
ni jiu shi 	你就是	c=3 d=0.0161646 t=50309
ni kan 	你看	c=12 d=2.79621e-09 t=50309
ni kan kan 	你看看	c=3 d=0.107528 t=50309
ni ke yi 	你可以	c=2 d=1.85401e-57 t=50309
ni ken ding 	你肯定	c=1 d=2.20394e-91 t=50309
ni lai 	你來	c=1 d=8.0759e-75 t=50309
ni le 	膩了	c=2 d=7.24598e-27 t=50309
ni ma 	尼瑪	c=1 d=7.76897e-31 t=50309
ni ma de 	你媽的	c=1 d=2.9133e-21 t=50309
ni mei 	你沒	c=1 d=1.72162e-09 t=50309
ni men 	你們	c=54 d=0.0917663 t=50309
ni na bian 	你那邊	c=1 d=3.80906e-28 t=50309
ni ne 	你呢	c=1 d=7.28824e-103 t=50309
ni qing wo yuan 	你情我願	c=1 d=9.06349e-50 t=50309
ni qu 	你去	c=1 d=1 t=50173
ni shi 	你是	c=3 d=3.80121e-20 t=50309
ni shi shi 	你試試	c=3 d=2.90276e-14 t=50309
ni shuo 	你說	c=7 d=3.48872e-13 t=50309
ni shuo de 	你說得	c=0 d=0.1 t=49973
ni shuo de dui 	你說得對	c=1 d=1 t=49974
ni ta ma 	你他媽	c=1 d=7.80873e-91 t=50309
ni xian 	你先	c=1 d=4.46893e-84 t=50309
ni xie 	你寫	c=1 d=2.96338e-45 t=50309
ni yao 	你要	c=1 d=7.58902e-20 t=50309
ni ying gai 	你應該	c=2 d=2.58519e-27 t=50309
ni yong 	你用	c=1 d=0.000459671 t=50309
ni zai 	你在	c=1 d=2.69978e-96 t=50309
ni zai na 	你在哪	c=1 d=9.23186e-90 t=50309
ni zen me 	你怎麼	c=1 d=4.98719e-22 t=50309
ni zhe 	逆着	c=1 d=4.51797e-36 t=50309
ni zhi dao 	你知道	c=1 d=1.08617e-90 t=50309
ni zi ji 	你自己	c=1 d=1 t=49346
ni zou 	你走	c=1 d=6.19565e-104 t=50309
nian 	唸	c=8 d=1.91785e-88 t=50309
nian 	年	c=9 d=0.008396 t=50309
nian ji 	年紀	c=2 d=6.71897e-58 t=50309
nian ling 	年齡	c=2 d=6.11357e-06 t=50309
nian nei 	年內	c=1 d=1.57382e-100 t=50309
nian qing 	年輕	c=2 d=1.34977e-58 t=50309
nian qing ren 	年輕人	c=1 d=5.7933e-20 t=50309
nian yue ri 	年月日	c=1 d=9.4135e-84 t=50309
niang 	娘	c=6 d=1.72351e-50 t=50309
niao 	鳥	c=1 d=1.29332e-26 t=50309
nin 	您	c=1 d=1.88985e-47 t=50309
ning yuan 	寧願	c=1 d=1.27954e-47 t=50309
niu 	牛	c=9 d=0.0478349 t=50309
niu b 	牛B	c=3 d=8.19122e-36 t=50309
niu bi 	牛逼	c=24 d=1.07083e-11 t=50309
niu bi zi 	牛筆資	c=1 d=5.84617e-68 t=50309
niu de 	扭得	c=1 d=6.41697e-17 t=50309
niu de 	牛的	c=1 d=6.51395e-17 t=50309
niu nai 	牛奶	c=2 d=2.23655e-58 t=50309
niu pai 	牛排	c=1 d=3.51322e-18 t=50309
niu wa 	牛蛙	c=8 d=6.69386e-14 t=50309
niu zhuan 	扭轉	c=2 d=0.105928 t=50309
nong 	弄	c=23 d=1.55105 t=50309
nong cheng 	弄成	c=4 d=4.4855e-10 t=50309
nong cun 	農村	c=1 d=1.50211e-22 t=50309
nong de 	弄得	c=1 d=1.9488e-26 t=50309
nong ge 	弄個	c=1 d=4.67477e-55 t=50309
nong hao 	弄好	c=2 d=1.51294e-77 t=50309
nong ye 	農業	c=1 d=1.60764e-56 t=50309
nong zhong 	濃重	c=1 d=1.3546e-100 t=50309
nu bu ke e 	怒不可遏	c=1 d=1.76059e-37 t=50309
nu li 	努力	c=2 d=1.1728e-81 t=50309
nuan huo 	暖和	c=1 d=3.72071e-46 t=50309
nuan se 	暖色	c=1 d=9.02443e-58 t=50309
nuo wei 	挪威	c=1 d=8.23342e-67 t=50309
nv 	女	c=9 d=9.73786e-12 t=50309
